company_name,about,website,email,investor_names,location/hq,lead/follow,initial_check_size,hardware/software,primary_stage_focus,initial_ownership_target,b2b/b2c/b2b2c,can_also_enter_at,investment_focus,does_not_invest_in,linkedin,crunchbase
TSVC,"By investing in forward-thinking ideas and cutting-edge deep technologies as well as partnering with exceptional founders in the extraordinary entrepreneurial community, TSVC has been ranked in the top decile of early-stage VC funds in Silicon Valley.",http://www.tsvcap.com/,-,"Eugene Zhang, Chun Xia, Charles Shao, Spencer Greene, Iris Sun",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"Hardware
SaaS
AI / ML
Financial Services / Payments
Biotech",-,https://www.linkedin.com/company/tsvcap/,https://www.crunchbase.com/organization/tsvcap
TTV Capital,We fund the future of fintech: TTV Capital is one of the longest-running venture capital firms investing in early-stage fintech companies.,http://www.ttvcapital.com/,info@ttvcapital.com,"Neil Kapur, Gardiner Garrard, Sean Banks, Lizzie Guynn, Mark Johnson, Laney Lewis, Tom Smith",Georgia,Mostly Lead,"$1-3m
> $3m",Software / Code,"Seed
Series A","10-12%
> 12%",Agnostic,Pre-Seed,Financial Services / Payments,-,https://www.linkedin.com/company/ttv-capital,https://www.crunchbase.com/organization/ttv-capital
Tuesday Capital,"Tuesday Capital is an early stage, sector agnostic venture capital firm based in San Francisco. Tuesday Capital maintains a variety of relationships with other VC firms and works alongside them, using its media and PR expertise, to help propel the companies of tomorrow.",http://tuesday.vc/,partners@crunchfund.com,"Patrick, Prashant, David",California,Can Lead,-,Software / Code,Seed,-,-,-,"Financial Services / Payments
Social / Communities
Data & Analytics",-,https://www.linkedin.com/company/tuesdaycapital/,https://www.crunchbase.com/organization/tuesday-capital
Tundra Ventures,"Invest in tech, CPG, or healthcare companies in the US and registered as Delaware C-corps (or plan to convert)",https://tundravc.com/,hello@tundravc.com,"Adam Choe, Amanda Heyman, Danielle Steer",Minnesota,Can Lead,"$100-250k
$250-500k
$500k-1m",Agnostic,Pre-Seed,"5-7%
7-10%",Agnostic,-,"Consumer Goods
Social / Communities
Food & Beverages
Healthcare
SaaS","Class II and Class III Medtech, Deep tech, Most pure consumer (i.e., the next Snapchat), Cannabis",https://www.linkedin.com/company/tundravc/,https://www.crunchbase.com/organization/tundra-ventures
Tusk Venture Partners,Tusk Venture Partners is a New York City-based venture capital firm that invests in early stage technology companies operating in highly regulated markets.,http://tusk.vc/,info@tusk.vc,"Bradley Tusk, Jordan Nof, John Hooie, Lauren Dines",New York,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"SaaS
Healthcare
Financial Services / Payments
Gaming
Supply Chain & Logistics
Consumer Goods
Social / Communities
Food & Beverages",-,https://www.linkedin.com/company/tusk-ventures,https://www.crunchbase.com/organization/tusk-ventures
Twelve Below,"Partnering with courageous founders with breakthrough ideas at the earliest stages, focusing on investments in fintech, healthcare, energy and consumer sectors",https://www.twelvebelow.co/,byron@twelvebelow.co,"Byron Ling, Taylor Greene",New York,Mostly Lead,$1-3m,Software / Code,"Pre-Seed
Seed",10-12%,Agnostic,-,"Financial Services / Payments
Healthcare
Energy
Consumer Goods
SaaS",-,https://www.linkedin.com/company/twelve-below-vc/,https://www.crunchbase.com/organization/twelve-below
TwentyTwo VC,TwentyTwo VC is an early-stage venture capital firm dedicated to investing in companies tackling present and future quality of life.,https://www.twentytwo.vc/,katey@twentytwo.vc,-,California,Mostly Follow,-,Software / Code,Seed,-,-,-,"Future of Work
AI / ML",-,https://www.crunchbase.com/organization/twentytwo-vc,
Twilio,Twilio Ventures invests in companies building tomorrow’s solutions for developers and customer engagement applications.,http://www.twilio.com/,help@twilio.com,Jeff Lawson,California,Mostly Follow,"$1-3m
> $3m",Software / Code,"Series A
Series B",-,-,-,"E-Commerce
SaaS
AI / ML",-,https://www.linkedin.com/company/twilio-inc-,https://www.crunchbase.com/organization/twilio
Twine Ventures,Twine partners with early-stage founders for whom purpose and profit are inextricably linked. ,https://twineventures.com/,hello@twineventures.com,Leshika Samarasinghe,California,Mostly Follow,-,Agnostic,"Pre-Seed
Seed",-,Agnostic,-,"Healthcare
Financial Services / Payments
Energy",-,https://www.linkedin.com/company/twine-ventures/,https://www.crunchbase.com/organization/twine-ventures
Two Sigma Ventures,"Two Sigma Ventures invests in early-stage, data-driven startups across a wide variety of industries. We partner with transformative companies that leverage the exponentially increasing availability of information, advancements in the science of computing, and the ingenuity and problem-solving of visionary humans.",http://twosigmaventures.com/,pitch@twosigmaventures.com,"Dan Abelon, Colin Beirne, Villi Iltchev, Dusan Perovic, Frances Schwiep, Kyra Durko, Andy Kangpan",New York,Mostly Lead,> $3m,Software / Code,Series A,-,-,"Seed
Series B","AI / ML
Data & Analytics",-,https://www.linkedin.com/company/two-sigma-ventures/,https://www.crunchbase.com/organization/two-sigma-ventures
TXV Partners,"TXV is an institutionally-backed private investment firm focusing on the sports, human performance, and software verticals.",https://txv.partners/,connect@txvpartners.com,"Marcus D. Stroud, Brandon M. Allen",Texas,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,SaaS,-,https://www.linkedin.com/company/txvpartners,https://www.crunchbase.com/organization/txv-partners
Tykhe Block Ventures,"We invest in early stage ventures within the blockchain sector with a focus on distributed ledger technology, digital assets & their key enabling infrastructure.",https://tykheblock.ventures/,invest@tykheblock.ventures,Prashant Malik,Wyoming,Mostly Follow,-,Software / Code,Seed,-,-,-,"Web3 / Blockchain
Gaming",-,https://www.linkedin.com/company/tykheblockventures/,https://www.crunchbase.com/organization/tykhe-block-ventures
Type One Ventures,"We invest in startups building the technologies, infrastructure, and services that will be integral as we progress towards a Type I Civilization.",https://type1ventures.com/,tarek@typeone.vc,"Tarek Waked, Abdo John Hajj, Ahmad Ishaq, Sanjeev Gordhan, Daniil Chen",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"Hardware
AI / ML
Healthcare
Financial Services / Payments",-,https://www.linkedin.com/company/typeoneventures/,https://www.crunchbase.com/organization/type-1-ventures
U.S. Venture Partners,U.S. Venture Partners is a venture capital firm that focuses on early-stage ventures in information technology and health care.,http://usvp.com/,contact@usvp.com,"Jacques Benkoski, Matt Garratt, Steve Krausz, Rick Lewis, Jon Root, Casey Tansey, Dafina Toncheva",California,Mostly Follow,-,Agnostic,Seed,-,-,-,"Healthcare
SaaS
IaaS
Privacy & Security
Consumer Goods",-,http://www.linkedin.com/company/57330,https://www.crunchbase.com/organization/us-venture-partners
Ubiquity Ventures,"Ubiquity Ventures is a seed-stage venture capital firm based in Palo Alto, California focused on early-stage investments in promising deep technology companies.",http://www.ubiquity.vc/,pitches@ubiquity.vc,Sunil Nagaraj,California,Mostly Follow,-,Agnostic,Seed,-,-,-,"Hardware
AI / ML
Privacy & Security",-,https://www.linkedin.com/company/ubiquityvc/,https://www.crunchbase.com/organization/ubiquity-ventures
UCeed,"Accelerating early-stage startup companies to advance problem-solving research, create jobs and fuel the economy.",https://www.ucalgary.ca/uceed/uceed,-,-,Alberta,Mostly Follow,"$25-100k
$100-250k
$250-500k",Agnostic,Seed,-,-,-,"Healthcare
CleanTech / Impact / Sustainability",-,https://www.crunchbase.com/organization/uceed,
Ulu Ventures,"We are software and internet investors. We’ve made many investments in enterprise software, future of work, fintech, edtech, and blockchain and we have recently begun making more investments in areas such as digital health, consumer tech, and sustainability. We are always open to new and expanding views for the future.

We are also heavily involved in the Stanford community and invest significantly into companies that are a part of this ecosystem.",http://www.uluventures.com/,https://uluventures.com/become-an-ulupreneur/,"Miriam Rivera, Clint Korver, Steve Reale, Nancy Torres, Kathy Chen, Maria Salamanca",California,Can Lead,$1-3m,Agnostic,"Pre-Seed
Seed",No Target,Agnostic,Series A,"SaaS
Future of Work
Financial Services / Payments
Education
Web3 / Blockchain
Healthcare
Biotech
AI / ML
CleanTech / Impact / Sustainability
Data & Analytics
E-Commerce
Energy
Marketplaces
Social / Communities
Supply Chain & Logistics",-,https://www.linkedin.com/company/ulu-ventures,https://www.crunchbase.com/organization/ulu-ventures
Uncork Capital,"Uncork Capital is a seed-stage venture capital firm that focuses on SaaS, consumer, marketplaces, hardware, and new technology startups.",http://www.uncorkcapital.com/,contact@uncorkcapital.com,"Jeff Clavier, Andy Mcloughlin, Susan Liu, Tripp Jones",California,Mostly Lead,$1-3m,Agnostic,Seed,"7-10%
10-12%",-,-,"Marketplaces
Hardware
SaaS
AI / ML
Gaming
Financial Services / Payments
Data & Analytics",-,https://www.linkedin.com/company/uncorkcapital,https://www.crunchbase.com/organization/softtech-vc
Uncorrelated Ventures,Uncorrelated Ventures invests in early-stage infrastructure software companies.,https://uncorrelated.com/,-,Salil Deshpande,California,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,SaaS,-,https://www.crunchbase.com/organization/uncorrelated-ventures,
Underscore VC,"Underscore VC is an early-stage, Boston-based venture capital firm backing bold entrepreneurs with an aligned community designed to fit each startup's unique needs.",http://www.underscore.vc/,hello@underscore.vc,"Sooah Cho, Brian Devaney, Richard Dulude, Chris Gardner, Lily Lyman, James Orsillo, John Pearce, Michael Skok",Massachusetts,Mostly Lead,$1-3m,Agnostic,"Seed
Series A","10-12%
> 12%",-,Pre-Seed,"AI / ML
Hardware
E-Commerce
Web3 / Blockchain
Future of Work
Financial Services / Payments
Healthcare
Supply Chain & Logistics
Marketplaces",-,https://www.linkedin.com/company/10791786,https://www.crunchbase.com/organization/underscore-vc
Union Labs Ventures,We invest in highly technical deeptech pre-seed and seed founders who want to solve big problems & change the world.,http://unionlabs.com/,info@unionlabs.com,"Nate Williams, Chris Kim",California,Mostly Lead,"$500k-1m
$1-3m",Agnostic,"Pre-Seed
Seed
Series A",-,-,-,"CleanTech / Impact / Sustainability
Real Estate
Supply Chain & Logistics
Hardware",-,https://www.linkedin.com/company/unionlabs,https://www.crunchbase.com/organization/union-lab
Union Square Ventures,USV is a small collegial partnership that manages over $1B across seven funds. Our portfolio companies create services that have the potential to fundamentally transform important markets.,http://www.usv.com/,info@unionsquareventures.com,"Albert Wenger, Andy Weissman, Brad Burnham, Fred Wilson, John Buttrick, Nick Grossman, Rebecca Kaden, Samson Mesele",New York,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"E-Commerce
Social / Communities
Consumer Goods
Education
Financial Services / Payments
Food & Beverages
Gaming
Healthcare
Marketplaces
Advertising & Media
Privacy & Security
Real Estate
Supply Chain & Logistics
Web3 / Blockchain
SaaS",-,https://www.linkedin.com/company/union-square-ventures,https://www.crunchbase.com/organization/union-square-ventures
Uniswap,"Uniswap Labs Ventures will invest in teams at different stages and levels of the web3 stack, from infrastructure to developer tools and consumer-facing applications. We’re also focused on investing in projects that are closely aligned with our values: building for the long term, collaborating openly with communities, and putting users first.",https://uniswap.org/,media@uniswap.org,Hayden Adams,New York,Mostly Follow,-,Software / Code,Seed,-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/uniswaporg,https://www.crunchbase.com/organization/uniswap-labs
Unitus Ventures,"We support early-stage fintech, healthcare, and jobtech startups with India scale and global emerging market potential.",http://unitus.vc/,-,"Surya Mantha, Dave Richards, Srikrishna Ramamoorthy, Will Poole",Washington,Mostly Follow,"$250-500k
$500k-1m",Software / Code,Series A,-,-,-,"Healthcare
AI / ML
Financial Services / Payments
Education",We generally cannot invest in any capital intensive businesses.,https://in.linkedin.com/company/unitus-ventures,https://www.crunchbase.com/organization/unitus-ventures
Unpopular Ventures,Our goal is to invest in the best early-stage technology companies before they become popular.,http://unpopular.vc/,-,"Peter Livingston, Thibault Reichelt",California,Mostly Follow,"$25-100k
$100-250k
$250-500k
$500k-1m",Agnostic,Seed,-,-,-,"Supply Chain & Logistics
Consumer Goods
E-Commerce
Marketplaces",-,https://www.linkedin.com/company/unpopular-ventures/,https://www.crunchbase.com/organization/unpopular-ventures
Unshackled Ventures,Unshackled invests in unrecognized and excluded immigrant entrepreneurs in the U.S.,http://unshackledvc.com/,info@unshackledvc.com,"Manan Mehta, Nitin Pachisia, Alexis Maciel, Elisabeth Tuttass",California,Mostly Lead,$250-500k,Agnostic,Pre-Seed,10-12%,Agnostic,-,"Hardware
Healthcare
Biotech
Industrial & Manufacturing
AI / ML
Marketplaces
Web3 / Blockchain
Supply Chain & Logistics
Travel & Tourism
Social / Communities
Real Estate
Sales & Marketing
SaaS
Natural Resources
Privacy & Security
IaaS
Government
Gaming
Future of Work
Financial Services / Payments
Energy
Education
E-Commerce
Data & Analytics
Consumer Goods
CleanTech / Impact / Sustainability
Agriculture & Farming
Advertising & Media",-,http://www.linkedin.com/company/unshackled,https://www.crunchbase.com/organization/unshackled-ventures
Unusual Ventures,"We lead pre-seed to Series A investments in software startups, supporting founders from idea to IPO.",https://www.unusual.vc/,info@unusual.vc,"John Vrionis, Jyoti Bansal, Sandhya Hegde, Wei Lien Dang, Lars Albright, Rachel Star",California,Mostly Lead,"$1-3m
> $3m",Software / Code,"Pre-Seed
Seed
Series A",-,-,-,"SaaS
Financial Services / Payments",-,https://www.linkedin.com/company/unusualventures/,https://www.crunchbase.com/organization/unusual-ventures
Upfront Ventures,Upfront Ventures is the venture capital firm focusing on early-stage technology companies.,http://upfront.com/,-,"Kobie Fuller, Nick Kim, Aditi Maliwal, Seksom Suriyapa, Mark Suster, Kevin Zhang",California,Mostly Lead,-,Agnostic,Seed,-,-,Pre-Seed,"Consumer Goods
Advertising & Media
Social / Communities
SaaS
Data & Analytics
Financial Services / Payments
AI / ML
Education
Marketplaces
Hardware
Healthcare
Web3 / Blockchain",-,https://www.linkedin.com/company/upfront-ventures,https://www.crunchbase.com/organization/upfront-ventures
UpHonest Capital,We invest in the most promising entrepreneurs and fastest-growing early-stage startups and then use our resources to boost value creation through disruptive means.,https://www.uphonestcapital.com/,info@uphonestcapital.com,"Wei Guo, Violet Tan, Sihong (Rex) Zheng, Ellen Ma",California,Mostly Follow,-,Agnostic,Seed,-,-,-,"Hardware
Consumer Goods
Web3 / Blockchain
SaaS
Healthcare
Biotech
Financial Services / Payments
Education",-,https://www.linkedin.com/company/uphonest-capital/,https://www.crunchbase.com/organization/uphonest-capital
Upper90,"Upper90 focuses on early-stage and growth-stage technology companies that are disrupting traditional industries. The firm provides both equity and debt financing to these companies, typically investing in seed and Series A funding rounds, as well as later-stage funding rounds.",https://www.upper90.io/,contact@upper90.io,"Billy Libby, Jason Finger, William Geist, Dallin Rosdahl, Greg Vilkin",New York,Mostly Follow,> $3m,Agnostic,"Seed
Series A",-,-,Series B,"Consumer Goods
E-Commerce
Financial Services / Payments
Industrial & Manufacturing
Supply Chain & Logistics
Marketplaces
Advertising & Media",-,https://www.linkedin.com/company/upper90/,https://www.crunchbase.com/organization/upper90
Urban Innovation Fund,A venture capital firm that provides seed capital and regulatory support to entrepreneurs shaping the future of cities – helping them grow into tomorrow’s most valued companies.,http://www.urbaninnovationfund.com/,info@urbaninnovationfund.com,"Julie Lein, Clara Brenner, Andrew Felbinger",California,Mostly Lead,-,Agnostic,Seed,-,-,Pre-Seed,"Supply Chain & Logistics
Energy
Real Estate
Future of Work
Education
Financial Services / Payments
Healthcare
Biotech
Government
Food & Beverages
Agriculture & Farming",-,https://www.linkedin.com/company-beta/10697217/,https://www.crunchbase.com/organization/urban-innovationfund
v1.vc,"V1.VC is a venture capital firm focused on early-stage internet, B2B software, consumer, financial, crypto, and deep tech companies across North America.",http://v1.vc/,-,"Brett Jackson, Benny Joseph",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,Agnostic,-,"SaaS
Financial Services / Payments
Web3 / Blockchain
Hardware
E-Commerce
Data & Analytics",-,https://www.linkedin.com/company/v1-vc/,https://www.crunchbase.com/organization/v1-vc
Valar Ventures,"We invest in high-margin, fast-growing financial technology companies across the globe.",http://www.valarventures.com/,-,"James Fitzgerald, Andrew Mccormack, Giff Carter",New York,Mostly Lead,-,"Software / Code
Services",Series A,-,-,Seed,Financial Services / Payments,-,http://www.linkedin.com/company/valar-ventures-management-llc,https://www.crunchbase.com/organization/valar-ventures
Valhalla Ventures,"Valhalla Ventures backs visionary founders at the forefront of social and technological breakthroughs. Our current areas of focus are deeptech, gaming, and blockchain.",https://www.valhalla.ventures/,-,"Matthew King, Devan Malhotra, Rohan Pujara",Florida,Mostly Follow,-,Agnostic,Seed,-,-,-,"Hardware
Gaming
Web3 / Blockchain",-,https://www.linkedin.com/company/valhallaventures/,https://www.crunchbase.com/organization/valhalla-ventures
Valia Ventures,Valia is a venture capital firm backing founders building tomorrow’s most iconic companies.,http://www.valia.vc/,khaled@valia.vc,"Khaled Jalanbo, Riley Rodgers",New York,Can Lead,"$100-250k
$250-500k
$500k-1m",Agnostic,"Seed
Pre-Seed","5-7%
7-10%",Agnostic,-,"Healthcare
Consumer Goods
Hardware
Supply Chain & Logistics
Financial Services / Payments
Data & Analytics
CleanTech / Impact / Sustainability
AI / ML
E-Commerce
Energy
Future of Work
Government
IaaS
Industrial & Manufacturing
Marketplaces
Real Estate
SaaS",-,https://www.linkedin.com/company/valia-investments-inc-/,https://www.crunchbase.com/organization/valia-investments-inc-
Valo Ventures,"Valo Ventures is a thesis-driven venture capital firm investing in North America and Europe. Our mission is ""investing for a brighter future"" and we do this by focusing on three catalyzing megatrends: climate change, circular economy, and empowered people. We identify and support entrepreneurs who are applying digital technologies to create long term economic, environmental and social value.",https://valoventures.org/,-,"Scott Tierney, Mona Elnaggar, Julia Trotman Brady, Subodh Gupta",California,Mostly Follow,-,Agnostic,"Seed
Series A
Series B",-,-,-,"CleanTech / Impact / Sustainability
Natural Resources",-,https://www.linkedin.com/company/valoventures/,https://www.crunchbase.com/organization/valo-ventures
Valor Capital Group,"We are the pioneer Cross-Border Venture Fund bridging the US, Latin American and Global technology markets.",http://www.valorcapitalgroup.com/,info@valorcapitalgroup.com,"Clifford Sobel, Scott Sobel, Antoine Colaço, Michael Nicklas, Phillip Trauer, Carlos Costa, Carol Lacombe, Mario Mello, Lucas Mendes, Everson Lopes",New York,Mostly Lead,-,"Software / Code
Services","Seed
Series A",-,-,-,"Web3 / Blockchain
Social / Communities
Financial Services / Payments
SaaS",-,https://pt.linkedin.com/company/valor-capital-group,https://www.crunchbase.com/organization/valor-capital
Valor Equity Partners,We invest in technology and technology-enabled companies that innovate and disrupt existing industries — from biosciences to transportation to food to health and wellness.,http://www.valorep.com/,info@valorep.com,"Antonio Gracias, Juan Sabater, Jonathan Shulkin, Constantine Saab, Alan Pardee, Joseph Haslip, Julie Fisher, Jared Gardner, Ross Ramatici, Tom Demery, Philippe El Khazen, Manuel Pantelias Garces, Will Baine, Evan Jaysane-Darr, Alli Folk, Anni Ylagan,",Illinois,Mostly Lead,-,Agnostic,Series A,-,-,-,"Biotech
Supply Chain & Logistics
Food & Beverages
Agriculture & Farming
Healthcare",-,https://www.linkedin.com/company/valor-equity-partners,https://www.crunchbase.com/organization/valor-equity-partners
Valor Ventures,"We lead seed rounds in visionary B2B SaaS startups in the fastest growing, most promising venture capital region in the country–the South U.S.",http://www.valor.vc/,team@valor.vc,"Lisa Calhoun, Robin Bienfait, Gary Peat, Renee Montgomery",Georgia,Mostly Lead,-,Software / Code,Seed,-,B2B,-,SaaS,-,https://www.linkedin.com/company/valorvc/,https://www.crunchbase.com/organization/valor-ventures
VamosVentures,"VamosVentures is an LA-based VC fund that provides capital and partnership to Latinx and diverse teams solving real problems through scalable, tech-driven companies. We primarily invest in Health & Wellness, Future of Work, FinTech, and Sustainability startups because we see pronounced opportunity for both returns and societal impact in these markets.",https://www.vamosventures.com/,info@vamosventures.com,"Marcos Gonzalez, Ashley Aydin",California,Mostly Lead,-,Software / Code,Seed,-,-,Pre-Seed,"Healthcare
Future of Work
Financial Services / Payments
CleanTech / Impact / Sustainability",-,https://www.linkedin.com/company/vamosventures,https://www.crunchbase.com/organization/vamosventures
Vanterra Capital,"We invest in disruptive companies across Consumer Goods, Digital Health, and Commerce Enablement.",http://www.vanterra.com/,info@vanterra.com,"Shad F. Azimi, Alejandro Weinstein, Trevor Rechnitz",New York,Mostly Follow,"$1-3m
> $3m",Agnostic,"Seed
Series A
Series B",-,-,-,"Consumer Goods
Healthcare
E-Commerce",-,https://www.linkedin.com/company/vanterra-capital-llc,https://www.crunchbase.com/organization/vanterra-capital
Variant,Variant is an early-stage fund investing in web3.,https://variant.fund/,info@variant.fund,"Jesse Walden, Li Jin, Spencer Noon",New York,Mostly Lead,-,Software / Code,Seed,-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/variantfund/,https://www.crunchbase.com/organization/variant-9ecc
Vast Ventures,Vast Ventures is a manifesto-driven venture fund investing in disruptive companies with a global impact.,http://www.vastvc.com/,d@vastvc.com,"Doug Chertok, Aniq Rahman",New York,Mostly Follow,-,Agnostic,Seed,-,-,-,"Consumer Goods
AI / ML
Financial Services / Payments
Real Estate
Healthcare
Food & Beverages
Agriculture & Farming",-,https://www.linkedin.com/company/vast-ventures/,https://www.crunchbase.com/organization/vast-ventures
Vela Partners,"Vela Partners is a San Francisco-based investment firm, pioneering an innovative way of investing in startups, which we call Ventech.",http://vela.partners/,engage@vela.partners,"Yiğit Ihlamur, Murat Ihlamur",California,Can Lead,-,Software / Code,"Seed
Series A",-,-,-,"AI / ML
Hardware
Future of Work
SaaS
Data & Analytics",-,https://www.linkedin.com/company-beta/17989133,https://www.crunchbase.com/organization/vela-partners
Venrock,"Venrock partners with entrepreneurs who want to tackle big, hard problems that most think not possible.",http://www.venrock.com/,publicrelations@venrock.com,"Brian Ascher, Ethan Batraski, Nick Beim, Racquel Bracken, Bob Kocher, Bryan Roberts, Camille Samuels, Ganesh Srinivasan, Mike Tyrrell",California,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"Healthcare
E-Commerce
Marketplaces
Financial Services / Payments
Web3 / Blockchain
Privacy & Security
Hardware
SaaS
AI / ML",-,http://www.linkedin.com/company/venrock,https://www.crunchbase.com/organization/venrock
Versant Ventures,Versant Ventures is a leading healthcare investment firm committed to helping exceptional entrepreneurs build the next generation of great companies.,https://www.versantventures.com/,-,"Brad Bolzon, Jerel Davis, Alex Mayweg, Clare Ozawa, Carlo Rizzuto, Tom Woiwode, Robin Praeger, Mehmet Badur, Joel Drewry, Katharina Kreymborg, Rachel Lane, Markus Enzelberger, Guido Magni",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"Healthcare
Biotech",-,http://www.linkedin.com/company/versant-ventures,https://www.crunchbase.com/organization/versant-ventures
Version One Ventures,Backing mission-driven founders at the earliest stages.,http://versionone.vc/,boris@versionone.vc,"Boris Wertz, Angela Tran",British Columbia,Can Lead,"$500k-1m
$1-3m",Agnostic,Seed,-,-,-,"AI / ML
Government
Consumer Goods
Web3 / Blockchain
Sales & Marketing
Marketplaces",-,https://www.linkedin.com/company/version-one-ventures,https://www.crunchbase.com/organization/version-one-ventures
Vertex Ventures (US),Vertex Ventures US partners with enterprising founders who seek to disrupt large markets.,http://www.vertexventures.com/,hello@vertexventures.com,"Kee Lock Chua, Joo Hock Chua, Ben Mathias, Carmen Yuen, Piyush Kharbanda",California,Can Lead,-,Agnostic,"Seed
Series A",-,-,-,"Consumer Goods
Food & Beverages
SaaS
Financial Services / Payments
CleanTech / Impact / Sustainability
Healthcare",-,https://www.linkedin.com/company/vertex-ventures,https://www.crunchbase.com/organization/vertex-ventures-us
Vertical Venture Partners,We focus on early-stage software and deep-tech companies that are US-based.,http://www.vvp.vc/,doreen@vvp.vc,"David Schwab, Paul Conley, Brad Corona",California,Mostly Lead,"$500k-1m
$1-3m
> $3m",Agnostic,Series A,-,-,Seed,"SaaS
Healthcare
Marketplaces
AI / ML
Biotech
Hardware",We do not invest in anything B2C. We do not invest in companies with business models that are capital-intensive and/or require many years of development to bring a product to market.,https://www.linkedin.com/in/david-schwab-b9532620/,https://www.crunchbase.com/organization/vertical-venture-partners
Vestigo Ventures,Vestigo Ventures is an early-stage venture capital firm that invests in technology companies focused on financial services.,http://www.vestigoventures.com/,info@vestigoventures.com,"Dave Blundin, Mark Casady, Mike Nugent, Ian W. Sheridan, Kelly Shaw, Frazer Anderson",Massachusetts,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,-,Financial Services / Payments,-,https://www.linkedin.com/company/10472198,https://www.crunchbase.com/organization/vestigo-ventures
Vibe Capital,https://vibecap.co/thesis/,https://vibecap.co/,vibes@vibecap.co,"Dave Goldblatt, Timothy Ryan",California,Mostly Follow,"$100-250k
$250-500k",Agnostic,"Pre-Seed
Seed",5-7%,Agnostic,"Pre-Seed
Seed","AI / ML
Biotech
Data & Analytics
Energy
Hardware
Web3 / Blockchain","CPG, D2C",https://www.linkedin.com/company/vibecap,https://www.crunchbase.com/organization/vibe-capital-cd52
Vibranium.VC,"- Tech focus: B2B SaaS, PaaS, Cloud services (Industry agnostic)
- $40k+ MRR on US market (or expectation to reach that number in the next 2-3 months)
- Incorporated US entity
- Valuation CAP: max $25 Mln
- Stage: Seed, pre-series A
- Annual revenue growth: 300% & higher (MoM 15%+)
- Our average investment check: up to $500k in the first round. Up to $1.5M follow on.",https://vibranium.vc/,valentina@vibranium.vc,-,California,"Can Lead
Mostly Follow",$250-500k,"Agnostic
Software / Code",Seed,"< 5%
5-7%",B2B,Series A,SaaS,"Not interested in : Pharma, bio\medtech, crypto, hardware, projects related to alcohol, tobacco, legalized drugs, adult industry, gambling, weapons or non IT",https://www.linkedin.com/company/vibraniumvc/,https://www.crunchbase.com/organization/vibranium-venture-capital
Vice Ventures,"Vice Ventures is an early stage venture capital fund conquering stigmas and striving towards superior returns by investing in good companies operating in superficially ""bad"" industries.",https://www.viceventures.com/,info@viceventures.com,Catharine Dockery,New York,Mostly Follow,-,Agnostic,Seed,-,-,-,"Energy
Consumer Goods",-,https://www.linkedin.com/company/vice-ventures/,https://www.crunchbase.com/organization/vice-ventures
Village Global,We back seed-stage entrepreneurs across a range of geographies and industries.,http://www.villageglobal.vc/,hello@villageglobal.vc,"Adam Corey, Anne Dwane, Amrit Rao, Ben Casnocha, Erik Torenberg, Lucas Vaz",California,Can Lead,"$250-500k
$500k-1m",Agnostic,"Pre-Seed
Seed",-,-,-,"Consumer Goods
SaaS
Financial Services / Payments
Healthcare
Supply Chain & Logistics",-,https://www.linkedin.com/company/18265228/,https://www.crunchbase.com/organization/village-global-2
Vine Ventures,"We back founders solving the two greatest challenges facing humanity: mental health and aging. We invest in companies in the psychedelics, neurotechnology, longevity, and conscious health and wellbeing fields.",https://www.vine.vc/,dt@vine.vc,"Ryan Zurrer, Ozan Polat, Daniel Tarockoff",California,Mostly Follow,"$100-250k
$250-500k
$500k-1m",Agnostic,"Pre-Seed
Seed",No Target,Agnostic,Series A,"Biotech
Healthcare",-,https://www.linkedin.com/company/vine-ventures/,https://www.crunchbase.com/organization/vine-ventures
Vinyl Capital,Vinyl.VC is a venture capital firm that invests in early-stage startups in the consumer technology space.,http://www.vinyl.vc/,-,"Tj Mahony, Travis Kirk Lowry",Massachusetts,Mostly Follow,"$500k-1m
$1-3m",Software / Code,"Seed
Series A",-,-,-,"E-Commerce
Marketplaces
Advertising & Media
Gaming",-,https://www.linkedin.com/company/76132026,https://www.crunchbase.com/organization/vinyl-capital
Virginia Venture Partners,"VVP places equity investments in Virginia’s leading technology, energy, life science and scale-able non- tech start-ups through a family of seed and early-stage investment funds.",https://www.virginiaipc.org/vvp,gap@cit.org,Bob Stolle,Virginia,Mostly Lead,"Up to $25k
$25-100k
$100-250k",-,Seed,-,-,Pre-Seed,"Energy
Healthcare
Biotech",-,https://www.linkedin.com/company/virginia-innovation-partnership-corporation/,https://www.crunchbase.com/organization/cit-gap-funds
